"","HAS_FIRE","Elevation","Slope","NDVI","Road","Hydrography","Pop_dens","Ocupations","LULC","Temperature","RH","Wind Speed","FMC","DMC","DC","Prob_fogo","HasFire_Predict"
"1","not-burned",719.1957366,2.188889277,0.517638531,1573.986959,319.3626569,3.122620106,950.7819766,"4",24.43245871,70.05231329,11.43210344,67.05130237,195.7090814,331.8629602,0.00121285762478818,"0"
"2","not-burned",730.2725881,3.073078431,0.566873938,3737.150387,210.1013269,0.895577013,4014.164107,"4",28.83346985,81.16768796,13.187167,90.80820906,5.065913777,103.9337126,0.0842675595176439,"1"
"3","not-burned",629.1050411,1.66057952,0.522319783,1433.306111,1427.590491,2.615119934,2125.667718,"4",26.69915604,59.27257171,14.58448089,49.6475795,227.6199576,975.5234379,0.000149989862511438,"1"
"4","not-burned",688.7826992,2.418728425,0.477001184,2256.537565,298.6913325,0.895577013,7784.037374,"4",24.66000581,74.94518066,7.177480568,26.41696555,38.59465254,977.337154,7.02911052868931e-07,"1"
"5","not-burned",752.0315896,2.279418694,0.522181102,3478.89998,1088.31384,3.511869907,5054.749614,"4",29.64176086,66.3813097,16.10538338,74.76607138,13.42388609,1177.352166,0.195547128155343,"1"
"6","not-burned",650.0288083,2.145316155,0.491036445,1219.273199,1867.941139,1.338879943,705.8459142,"12",25.344394,34.56966724,6.132777685,90.46008462,161.6961606,684.7689598,0.982947619462585,"1"
"7","not-burned",631.0151628,2.482164525,0.546943732,968.5173135,183.8845679,5.531589985,625.3242948,"4",30.38543602,47.44352167,9.00894946,26.0411865,229.6041543,1244.017584,2.18129752840699e-06,"1"
"8","not-burned",581.0760544,1.782939233,0.458195819,665.4298838,208.2696365,1.338879943,1560.319812,"4",29.04500692,46.45729357,7.670871718,31.43101203,199.0358264,877.5951263,2.50790669872656e-06,"1"
"9","not-burned",659.9628075,2.515366219,0.55058331,2555.849465,403.2817917,1.103440046,381.0206148,"4",26.03535819,61.80593558,12.56840307,32.7031555,48.4956856,1306.136522,2.53485004218801e-05,"1"
"10","not-burned",619.3040322,3.878069089,0.524992851,1296.7439,406.1375561,1.611490011,1053.398541,"4",22.76374337,85.32644766,13.59958555,35.21839053,149.2282254,251.8669496,1.06732550888697e-07,"1"
"11","not-burned",539.8880486,2.579186045,0.604002066,1418.459916,143.3880243,1.724532768,1388.711173,"4",29.80088987,71.01332986,13.45157114,39.10809224,7.859169328,1035.309087,4.85515603738691e-06,"1"
"12","not-burned",699.068572,3.292928044,0.534682133,928.9261067,213.6960262,6.415256857,433.8558777,"4",28.26217328,53.2939775,7.404963864,67.26514995,44.13546998,856.5296366,0.0334488890189073,"1"
"13","not-burned",709.7050587,1.819981594,0.516529161,2507.447773,1336.0096,1.103440046,2966.750896,"4",27.84004273,57.8826037,13.20752752,61.56397086,125.1459933,781.5063163,0.00380145036364499,"1"
"14","not-burned",561.9781366,1.724404077,0.473876661,3664.668246,813.0479478,1.611490011,1430.613448,"4",27.45099264,71.89529198,8.803523634,91.37474944,105.5787039,586.9435516,0.51082063587169,"1"
"15","not-burned",615.4509708,2.307740327,0.541526651,1084.511471,754.0117842,5.531589985,1168.427955,"4",30.54284433,93.75644451,13.77095564,73.36672985,37.12397749,591.7613697,0.00130831685350446,"1"
"16","not-burned",726.7701809,9.151566047,0.591066646,2846.12976,312.3695076,1.533360004,2361.164033,"4",28.45678705,83.72847068,9.318253229,63.41026757,61.7481575,157.972073,0.000153081944074543,"0"
"17","not-burned",671.6597308,2.619787386,0.48159879,3720.858465,221.8715025,1.103440046,1072.020903,"4",28.10103149,79.30631376,10.33833061,63.74213642,234.6181913,444.1368286,0.000371675528745854,"1"
"18","not-burned",595.2654048,1.619504781,0.510238453,1750.171334,2987.109266,4.401770115,3861.681253,"4",27.76988661,39.15817195,11.42130016,20.76327935,111.79743,434.4936908,1.880281371831e-07,"1"
