"","HAS_FIRE","elev_cave","slope_cave","NDVI_cave","hidro_dist","road_dista","censo_cave","Classe_cav"
"1",2,757.7210083,1.67632997,0.607968986,2980.110107,3173.540039,0,4
"2",2,763.072998,2.454920053,0.607366979,3725.800049,3770.679932,0,4
"3",2,816.0739746,1.18283999,0.586372972,2795.790039,3229.399902,0,4
"4",2,735.9730225,1.154420018,0.581254005,407.8559875,954.572998,0.292205989,3
"5",2,758.6030273,0.980328977,0.663572013,1613.47998,1264.430054,0.292205989,4
"6",2,733.3319702,0.443919003,0.370415986,271.9039917,530.9099731,0.292205989,3
"7",2,768.4210205,1.559769988,0.66655302,1002.72998,30.39979935,0,2
"8",2,731.6760254,0.404334009,0.654304028,151.9989929,1556.339966,0.0123089,4
"9",2,809.6690063,0.993497014,0.597670019,4256.950195,4992.330078,0,4
"10",2,781.8209839,0.274643004,0.653898001,1635.949951,1998.540039,0,4
"11",2,741.9130249,0.92977798,0.628341973,625.9699707,530.9099731,0,4
"12",2,774.8330078,2.834219933,0.617501974,2288.679932,759.9949951,0,4
"13",2,732.6090088,4.689630032,0.66347301,85.9835968,1276.069946,0,4
"14",2,786.1430054,1.69520998,0.635586977,1866.310059,847.9310303,0,4
"15",2,753.3790283,0.903559029,0.675396979,1332.400024,364.7969971,0.292205989,4
"16",2,808.947998,0.575483024,0.631226003,3723.820068,4364.990234,0,4
"17",2,803.2109985,1.103399992,0.622437,3074.139893,3096.75,0,4
"18",2,735.6519775,2.034780025,0.567149997,135.9519958,259.7359924,0,4
"19",2,793.1890259,1.272809982,0.651315987,2674.149902,2179.47998,0.292205989,4
"20",2,811.3640137,0.957391024,0.578059018,2367.47998,2963.780029,0,4
"21",2,761.9069824,2.556529999,0.627906978,203.9279938,384.5299988,0,4
"22",2,747.9849854,1.776119947,0.589075983,825.8449707,823.0430298,0.292205989,4
"23",2,742.2280273,0.541836023,0.682874024,323.1539917,1586.040039,0,4
"24",2,781.6420288,1.787770033,0.545082986,1971.300049,310.0180054,0,4
"25",2,788.4400024,1.867799997,0.576869011,1551.579956,1734.920044,1.961470008,4
"26",2,782.6049805,2.017369986,0.558188021,1648.609985,2308.97998,0,4
"27",2,775.1729736,2.084209919,0.559638977,1114.890015,2288.679932,1.961470008,4
"28",2,799.3410034,1.222630024,0.637063026,1592.72998,742.1539917,0.292205989,2
"29",2,730.6970215,2.246680021,0.672663987,184.9149933,3347.429932,0,4
"30",2,779.1519775,2.159199953,0.602998972,1666.449951,730.8610229,0,4
"31",2,718.7589722,1.038120031,0.744000018,30.39979935,2325.139893,0,5
"32",2,732.2639771,0.919496,0.613421977,887.8610229,1253.420044,0,4
"33",2,718.5700073,0.51828903,0.487681001,125.3420029,472.9100037,0,5
"34",2,719.1420288,1.667430043,0.608259022,151.9989929,2905.209961,0,4
"35",2,740.3569946,1.481770039,0.623445988,395.196991,2021.300049,0,4
"36",2,730.7420044,1.195490003,0.544627011,60.79959869,1180.51001,0,4
"37",2,724.065979,2.873529911,0.586036026,121.598999,286.7909851,0.0123089,5
"38",2,743.723999,0.752548993,0.547996998,328.8240051,4778.859863,0.0123089,4
"39",2,755.4000244,1.683650017,0.627424002,666.7189941,3821.800049,0.0123089,4
"40",2,723.4790039,1.24890995,0.209831998,121.598999,2787.02002,0.0123089,4
"41",2,717,2.056190014,0.837337017,42.9917984,2623.909912,0,5
"42",2,737.5930176,1.801450014,0.682753026,1870.27002,1253.420044,0,4
"43",2,717.3499756,1.197790027,0.779220998,109.6080017,2773.050049,0,5
"44",2,741.2949829,1.041839957,0.584006011,1324.400024,1282.930054,0,4
"45",2,719.1469727,1.168630004,0.829089999,42.9917984,2308.179932,0,5
"46",2,715.9810181,1.119019985,0.660265982,60.79959869,2418.459961,0,5
"47",2,719.8909912,0.083308302,0.496881008,257.9509888,2359.659912,0,3
"48",2,715.3889771,2.273740053,0.486312002,163.7079926,2167.780029,0,5
"49",2,722.8369751,0.931496978,0.569064021,366.0620117,2094.060059,0,3
"50",2,779.7410278,1.876999974,0.513466001,1659.51001,936.4910278,1.961470008,4
"51",2,718.5310059,1.692649961,0.857365012,109.6080017,2374.300049,0,5
"52",2,767.6060181,1.668560028,0.533055007,1055.27002,1210.280029,1.961470008,4
"53",2,717.2609863,3.057650089,0.849456012,121.598999,2784.360107,0,5
"54",2,719.5159912,2.628690004,0.712408006,245.0910034,2480.149902,0,5
"55",2,716.6140137,0.864349008,0.706646025,0,2580.939941,0,5
"56",2,715.6420288,0.732096016,0.72687,91.19940186,2248.969971,0,5
"57",2,712.0269775,1.418089986,0.495494992,60.79959869,2289.48999,0,5
"58",2,715.2189941,0.736792028,0.602231979,60.79959869,2396.959961,0,5
"59",2,719.8590088,3.190910101,0.559889019,121.598999,2182.870117,0,4
"60",2,714.2949829,0.915244997,0.643862009,60.79959869,2381.48999,0,5
"61",2,715.1279907,1.118819952,0.615899026,96.13259888,2439,0,5
"62",2,715.059021,1.033910036,0.583333015,30.39979935,2629.360107,0,5
"63",2,714.6890259,0.98110801,0.783689976,60.79959869,2410.98999,0,5
"64",2,714.0579834,1.240839958,0.370061994,177.2599945,2468.939941,0,5
"65",2,747.960022,0.154269993,0.535921991,85.9835968,4562.5,0.0123089,4
"66",2,714.0020142,2.054150105,0.756065011,67.97599792,2569.639893,0,5
"67",2,714.7440186,2.602710009,0.720107019,42.9917984,2599.48999,0,5
"68",2,713.1589966,0.712014973,0.684104979,30.39979935,2618.090088,0,5
"69",2,716.0050049,1.599670053,0.56526798,214.9589996,2455.620117,0,5
"70",2,715.7880249,1.387439966,0.484337002,231.5180054,2831.590088,0,5
"71",2,720.1810303,2.666260004,0.506914973,212.798996,3060.129883,0,5
"72",2,702.8720093,0.376194,0.369572997,30.39979935,243.197998,1.961470008,5
"73",2,730.3120117,1.315029979,0.339089006,558.065979,3517.060059,0,2
"74",2,722.7550049,1.075430036,0.530818999,1255.630005,334.3980103,1.961470008,4
"75",2,699.2529907,1.711240053,0.311598986,125.3420029,67.97599792,1.961470008,5
"76",2,716.1329956,3.05644989,0.409478009,286.7909851,125.3420029,1.961470008,4
"77",2,767.5319824,2.420589924,0.450486988,2512.169922,923.072998,1.961470008,4
"78",2,718.309021,1.523769975,0.507750988,317.3829956,605.7119751,1.961470008,4
"79",2,736.6380005,2.077869892,0.559222996,429.9179993,1354.410034,1.961470008,4
"80",2,813.2930298,2.179749966,0.707316995,973.2680054,6547.819824,0.292205989,4
"81",2,739.7080078,2.732089996,0.434821993,875.2819824,685.8510132,1.961470008,4
"82",2,742.5949707,0.884801984,0.583149016,1846.650024,1419.380005,1.195619941,4
"83",2,742.9180298,2.008559942,0.517735004,969.9390259,2108.350098,1.195619941,4
"84",2,727.9940186,1.221320033,0.523000002,364.7969971,2197.209961,0,4
"85",2,721.6160278,0.903117001,0.572076023,634.7659912,3332.899902,0,4
"86",2,719.3430176,2.182179928,0.683575988,386.9259949,2474.360107,0,4
"87",2,749.2160034,2.928129911,0.489672989,2967.679932,1223.949951,1.961470008,4
"88",2,714.7249756,1.935789943,0.586848021,171.9669952,3930.52002,0,4
"89",2,735.0079956,0.689218998,0.505186975,669.4860229,3848.790039,0,2
"90",2,727.9940186,1.221320033,0.523000002,364.7969971,2197.209961,0,4
"91",2,714.5040283,1.311059952,0.62558502,192.2649994,2819.97998,0,5
"92",2,713.6729736,1.30855,0.447935998,257.9509888,2909.5,0,5
"93",2,748.25,2.243629932,0.62094897,1070.920044,3627.909912,0.0123089,4
"94",2,727.9940186,1.221320033,0.523000002,364.7969971,2197.209961,0,4
"95",2,711.2860107,0.776224971,0.517931998,30.39979935,2766.550049,0,5
"96",2,715.1630249,1.713860035,0.486806989,0,3878.330078,0,5
"97",2,723.3400269,0.846454978,0.486770004,494.8729858,2905.209961,0,4
"98",2,711.6569824,0.481651992,0.499808013,30.39979935,3288.379883,0,5
"99",2,752.8790283,1.25928998,0.644096971,339.8800049,2175.659912,0.0123089,4
"100",2,713.5499878,0.950513005,0.577745974,177.2599945,3192.560059,0,4
"101",2,766.3670044,2.358760118,0.530341983,978.9489746,5161.25,0,2
"102",2,715.2260132,2.529109955,0.495622993,203.9279938,3732.620117,0,5
"103",2,713.3640137,0.762596011,0.389135987,85.9835968,2743.570068,0,5
"104",2,711.5739746,1.488280058,0.629431009,367.321991,3518.23999,0,5
"105",2,717.2210083,2.745589972,0.627480984,425.5969849,3363.27002,0,5
"106",2,713.5,1.816400051,0.834995985,30.39979935,3857.899902,0,5
"107",2,731.71698,1.250640035,0.557020009,1174.630005,2624.969971,0,4
"108",2,716.1599731,2.996140003,0.607895017,288.3980103,2514.379883,0,5
"109",2,698.4920044,0.818597972,0.352144003,91.19940186,121.598999,1.961470008,5
"110",2,716.6060181,3.662450075,0.616117001,231.5180054,1806.170044,1.195619941,4
"111",2,700.8140259,2.243000031,0.320773005,231.5180054,571.1599731,1.961470008,5
"112",2,698.697998,0.840043008,0.31179899,151.9989929,455.9970093,1.961470008,5
"113",2,708.835022,2.666790009,0.459475011,250.6829987,30.39979935,1.961470008,4
"114",2,735.4160156,0.61917001,0.595130026,2243.209961,323.1539917,1.961470008,4
"115",2,702.6680298,1.657220006,0.354537994,151.9989929,60.79959869,1.961470008,4
"116",2,702.8610229,1.947170019,0.373555988,259.7359924,177.2599945,1.961470008,5
"117",2,700.1920166,1.809859991,0.346991986,303.9979858,501.3659973,5.438560009,5
"118",2,736.8270264,3.25928998,0.500488997,0,1945.589966,1.961470008,4
"119",2,706.1760254,2.272360086,0.482360005,396.3649902,303.9979858,1.961470008,4
"120",2,702.4060059,1.956349969,0.333025992,182.3990021,30.39979935,1.961470008,4
"121",2,699.1640015,0.145393997,0.381471008,312.9849854,475.8320007,5.438560009,5
"122",2,699.4730225,1.455139995,0.362295985,151.9989929,516.7960205,1.961470008,5
"123",2,735.4660034,0.41088599,0.455965996,1885.030029,30.39979935,1.961470008,4
"124",2,700.2150269,0.928683996,0.331613988,30.39979935,280.2720032,1.961470008,5
"125",2,699.9160156,1.231979966,0.388491005,30.39979935,243.197998,1.961470008,5
"126",2,709.572998,1.852159977,0.465353012,475.8320007,237.4299927,1.961470008,4
"127",2,704.7329712,1.196939945,0.469547004,151.9989929,42.9917984,1.961470008,4
"128",2,703.1500244,1.671319962,0.494677991,259.7359924,163.7079926,1.961470008,4
"129",2,698.7189941,0.919250011,0.396806002,243.197998,435.2590027,1.961470008,5
"130",2,701.9869995,1.660300016,0.400083005,151.9989929,413.4819946,5.438560009,5
"131",2,697.302002,0.760146022,0.309192002,30.39979935,60.79959869,1.961470008,5
"132",2,699.434021,0.763969004,0.387313008,367.321991,530.9099731,5.438560009,5
"133",2,706.4099731,2.576050043,0.367341012,231.5180054,85.9835968,1.961470008,4
"134",2,711.5949707,0.955960989,0.485610008,644.8770142,30.39979935,1.961470008,4
"135",2,704.617981,2.053910017,0.411027998,310.0180054,91.19940186,1.961470008,4
"136",2,700.1939697,0.813988984,0.346774012,212.798996,451.9249878,5.438560009,5
"137",2,702.9450073,1.202630043,0.406129986,432.0620117,369.82901,5.438560009,2
"138",2,698.8469849,0.294589013,0.355423987,399.8469849,530.9099731,5.438560009,5
"139",2,703,3.83555007,0.509698987,91.19940186,67.97599792,1.961470008,5
"140",2,701.5980225,2.26699996,0.358839989,192.2649994,369.82901,1.961470008,5
"141",2,700.1550293,2.015439987,0.399800986,128.9750061,121.598999,1.961470008,5
"142",2,702.1829834,0.979677975,0.421124995,30.39979935,334.3980103,1.961470008,5
"143",2,698.7269897,0.610985994,0.201731995,0,273.5979919,1.961470008,5
"144",2,699.7990112,2.404999971,0.465600997,91.19940186,455.9970093,5.438560009,5
"145",2,778.8599854,2.768290043,0.437918991,3764.179932,135.9519958,1.961470008,4
"146",2,698.440979,1.50556004,0.288738996,30.39979935,192.2649994,1.961470008,5
"147",2,700.2529907,1.006960034,0.35166201,30.39979935,364.7969971,1.961470008,5
"148",2,770.757019,1.260319948,0.565912008,1305.420044,4778.959961,0,2
"149",2,719.184021,7.799270153,0.674944997,60.79959869,3332.899902,0,5
"150",2,715.6939697,1.561249971,0.728115022,85.9835968,3531.879883,0,5
"151",2,723.9290161,1.994940042,0.615459979,219.2160034,3690.409912,0,4
"152",2,718.1439819,4.55257988,0.617458999,543.8079834,3251.639893,0,4
"153",2,718.5839844,2.315890074,0.647641003,516.7960205,3053.330078,1.195619941,4
"154",2,712.7940063,1.376719952,0.826663017,121.598999,3819.26001,0,5
"155",2,709.2189941,0.880203009,0.622922003,42.9917984,3249.370117,1.195619941,5
"156",2,711.0170288,0.868323982,0.718227029,30.39979935,3452.350098,6.438739777,5
"157",2,715.5949707,3.427580118,0.617565989,491.1239929,3295.820068,0,5
"158",2,718.5839844,2.315890074,0.647641003,516.7960205,3053.330078,1.195619941,4
"159",2,709.3920288,2.300620079,0.574580014,0,3331.52002,6.438739777,5
"160",2,713.8909912,2.540930033,0.542877018,0,3785.840088,0,5
"161",2,711.1450195,0.437981009,0.513557017,212.798996,3612.969971,0,5
"162",2,710.7750244,1.197450042,0.678535998,273.5979919,3529.52002,0,5
"163",2,712.4520264,1.71164,0.626577973,395.196991,3413.719971,0,5
"164",2,710.7750244,1.197450042,0.678535998,273.5979919,3529.52002,0,5
"165",2,752.309021,2.055190086,0.603495002,1961.910034,442.6279907,1.195619941,4
"166",2,710.7750244,1.197450042,0.678535998,273.5979919,3529.52002,0,5
"167",2,710.7750244,1.197450042,0.678535998,273.5979919,3529.52002,0,5
"168",2,712.5,1.11511004,0.479874015,192.2649994,3648.98999,0,5
"169",2,723.6799927,3.721820116,0.445544988,789.223999,3118.76001,0,4
"170",2,728.9060059,1.664520025,0.569947004,912.5,2294.330078,6.438739777,4
"171",2,712.2000122,0.896799028,0.350161999,275.2820129,3553.790039,0,5
"172",2,710.8049927,1.731130004,0.484259993,171.9669952,3994.540039,0,5
"173",2,713.6719971,0.900942028,0.616531014,182.3990021,3828.199951,0,5
"174",2,709.1799927,0.238396004,0.709688008,243.197998,3584.209961,0,5
"175",2,715.4069824,0.805993021,0.589456022,245.0910034,4202.649902,0,4
"176",2,721.8859863,2.498589993,0.469653994,699.1950073,3124.22998,0,4
"177",2,713.6140137,1.931759953,0.61450702,303.9979858,3709.52002,0,5
"178",2,726.8930054,2.436490059,0.477364004,1019.640015,2790.159912,0,4
"179",2,713.2709961,1.394520044,0.617317021,30.39979935,3720.219971,0,5
"180",2,723.539978,2.637010098,0.597751021,590.257019,3189.659912,0,4
"181",2,752.309021,2.055190086,0.603495002,1961.910034,442.6279907,1.195619941,4
"182",2,717.2449951,1.628409982,0.644025028,96.13259888,4179.390137,0,4
"183",2,700.0579834,1.077819943,0.350511998,243.197998,271.9039917,5.438560009,5
"184",2,702.1079712,2.493299961,0.232547998,323.1539917,91.19940186,1.961470008,5
"185",2,705.9019775,0.589727998,0.783343017,250.6829987,516.7960205,1.961470008,5
"186",2,708.8300171,2.853689909,0.650644004,520.3610229,271.9039917,1.961470008,5
"187",2,699.4650269,0.64635098,0.270343989,30.39979935,486.3970032,5.438560009,5
"188",2,698.7410278,0.672137022,0.358357012,121.598999,121.598999,1.961470008,5
"189",2,705.9879761,1.14842999,0.823367,177.2599945,607.9959717,1.961470008,5
"190",2,700.0410156,0.721341014,0.253381014,151.9989929,312.9849854,1.961470008,5
"191",2,699.2609863,0.657100976,0.205215007,30.39979935,471.9320068,5.438560009,5
"192",2,700.7979736,0.166869,0.357143015,60.79959869,457.0090027,5.438560009,5
"193",2,702.1640015,1.416180015,0.662634015,0,638.3959961,1.961470008,5
"194",2,702.5419922,1.010519981,0.744499028,109.6080017,701.8339844,5.438560009,5
"195",2,699.1560059,0.495288998,0.289655,60.79959869,364.7969971,1.961470008,5
"196",2,699.3129883,0.951608002,0.186998993,96.13259888,273.5979919,1.961470008,5
"197",2,725.9990234,2.677890062,0.413572013,605.7119751,395.196991,1.961470008,4
"198",2,700.4429932,0.735948026,0.415441006,60.79959869,384.5299988,5.438560009,5
"199",2,700.8850098,1.172780037,0.459495991,60.79959869,334.3980103,5.438560009,5
"200",2,700.0289917,2.477989912,0.491349012,245.0910034,135.9519958,5.438560009,4
"201",2,705.5479736,1.040879965,0.778801978,184.9149933,577.5960083,1.961470008,5
"202",2,699.4520264,0.619930029,0.399928004,380.9079895,464.0329895,5.438560009,5
"203",2,700.7020264,0.538214028,0.36146301,0,405.5840149,1.961470008,5
"204",2,703.6279907,0.954333007,0.499655992,42.9917984,722.5949707,5.438560009,5
"205",2,709.5209961,0.779926002,0.483058989,67.97599792,334.3980103,1.961470008,4
"206",2,700.2189941,0.669380009,0.398779005,60.79959869,395.196991,5.438560009,5
"207",2,715.4060059,1.869379997,0.593972027,42.9917984,3754.100098,6.438739777,5
"208",2,715.9559937,1.601729989,0.603670001,67.97599792,3701.290039,6.438739777,5
"209",2,713.8099976,1.952909946,0.665351987,490.1820068,3327.080078,0,5
"210",2,716.3959961,2.192770004,0.633390009,560.5440063,3236.969971,0,4
"211",2,709.007019,0.798453987,0.635430992,192.2649994,3620.639893,0,5
"212",2,710.1879883,0.837127984,0.531511009,194.654007,4024.389893,0,5
"213",2,710.0109863,1.08604002,0.757869005,135.9519958,3690.409912,0,5
"214",2,712.5310059,2.875839949,0.654408991,237.4299927,3406.540039,6.438739777,5
"215",2,708.9769897,0.134004995,0.731683016,182.3990021,3624.850098,0,5
"216",2,714.5869751,1.365440011,0.630492985,520.3610229,3281.209961,0,5
"217",2,713.3829956,2.300760031,0.762597024,60.79959869,3797.179932,0,5
"218",2,713.5079956,1.417359948,0.640690982,30.39979935,3815.629883,0,5
"219",2,717.7960205,2.444619894,0.59561801,151.9989929,3059.679932,6.438739777,4
"220",2,712.7329712,0.704006016,0.436661988,91.19940186,4110.160156,0,5
"221",2,713.8859863,0.784444988,0.878525972,60.79959869,3823.25,0,5
"222",2,712.0209961,0.584482014,0.721882999,30.39979935,3782.550049,0,5
"223",2,723.5999756,1.25643003,0.328390002,548.039978,3178.199951,0,2
"224",2,708.867981,0.899604023,0.598124027,364.7969971,3446.050049,0,5
"225",2,710.2219849,0.957433999,0.50819701,151.9989929,4012.889893,0,5
"226",2,714.1229858,2.09423995,0.683824003,442.6279907,3380.399902,0,5
"227",2,711.3690186,1.837380052,0.496286005,151.9989929,3988.860107,0,5
"228",2,716.4959717,1.636279941,0.473309994,125.3420029,2823.909912,0,5
"229",2,711.8980103,1.999160051,0.665908992,109.6080017,3718.850098,6.438739777,5
"230",2,723.6690063,2.680399895,0.568277001,537.8270264,2381.48999,0,4
"231",2,715.8629761,1.241260052,0.451774001,203.9279938,2853.370117,0,5
"232",2,716.1950073,2.165699959,0.607177973,125.3420029,3525.590088,6.438739777,4
"233",2,710.2369995,1.155779958,0.703077018,273.5979919,3535.409912,0,5
"234",2,710.8070068,1.369449973,0.429619014,109.6080017,3716.370117,0,5
"235",2,718.2600098,9.873760223,0.757890999,60.79959869,3325.27002,0,5
"236",2,713.1680298,1.762480021,0.622530997,395.196991,3428.709961,0,5
"237",2,815.6900024,1.45310998,0.610346019,1091.430054,2653.330078,0.292205989,4
"238",2,732.9609985,2.425260067,0.491364986,838.6160278,2406.389893,6.438739777,4
"239",2,698.4279785,0.728347003,0.34375,464.0329895,312.9849854,5.438560009,5
"240",2,696.9780273,0.143758997,0.330873013,151.9989929,214.9589996,1.961470008,5
"241",2,699.9920044,0.61294198,0.525394022,85.9835968,425.5969849,5.438560009,2
