"","HAS_FIRE","Elevation","Slope","NDVI","Road","Hydrography","Pop_dens","Ocupations","LULC","Prob_fogo","HasFire_Predict"
"1","not-burned",719.1957366,2.188889277,0.517638531,1573.986959,319.3626569,3.122620106,950.7819766,"4",0.390233651808688,"1"
"2","not-burned",730.2725881,3.073078431,0.566873938,3737.150387,210.1013269,0.895577013,4014.164107,"4",0.442035277596632,"0"
"3","not-burned",629.1050411,1.66057952,0.522319783,1433.306111,1427.590491,2.615119934,2125.667718,"4",0.320768158550602,"1"
"4","not-burned",688.7826992,2.418728425,0.477001184,2256.537565,298.6913325,0.895577013,7784.037374,"4",0.406248409836566,"1"
"5","not-burned",752.0315896,2.279418694,0.522181102,3478.89998,1088.31384,3.511869907,5054.749614,"4",0.450481142408412,"0"
"6","not-burned",650.0288083,2.145316155,0.491036445,1219.273199,1867.941139,1.338879943,705.8459142,"12",0.457137825689519,"1"
"7","not-burned",631.0151628,2.482164525,0.546943732,968.5173135,183.8845679,5.531589985,625.3242948,"4",0.297985571772325,"1"
"8","not-burned",581.0760544,1.782939233,0.458195819,665.4298838,208.2696365,1.338879943,1560.319812,"4",0.349298290563774,"1"
"9","not-burned",659.9628075,2.515366219,0.55058331,2555.849465,403.2817917,1.103440046,381.0206148,"4",0.394110565717631,"1"
"10","not-burned",619.3040322,3.878069089,0.524992851,1296.7439,406.1375561,1.611490011,1053.398541,"4",0.374420115464705,"1"
"11","not-burned",539.8880486,2.579186045,0.604002066,1418.459916,143.3880243,1.724532768,1388.711173,"4",0.238404483524625,"1"
"12","not-burned",699.068572,3.292928044,0.534682133,928.9261067,213.6960262,6.415256857,433.8558777,"4",0.353082768141688,"1"
"13","not-burned",709.7050587,1.819981594,0.516529161,2507.447773,1336.0096,1.103440046,2966.750896,"4",0.410451525746094,"1"
"14","not-burned",561.9781366,1.724404077,0.473876661,3664.668246,813.0479478,1.611490011,1430.613448,"4",0.460230923080573,"1"
"15","not-burned",615.4509708,2.307740327,0.541526651,1084.511471,754.0117842,5.531589985,1168.427955,"4",0.293964587216192,"1"
"16","not-burned",726.7701809,9.151566047,0.591066646,2846.12976,312.3695076,1.533360004,2361.164033,"4",0.542927651173301,"1"
"17","not-burned",671.6597308,2.619787386,0.48159879,3720.858465,221.8715025,1.103440046,1072.020903,"4",0.532036883386208,"1"
"18","not-burned",595.2654048,1.619504781,0.510238453,1750.171334,2987.109266,4.401770115,3861.681253,"4",0.311360451705808,"1"
"19","not-burned",740.8866568,1.987183572,0.495094115,1658.805205,376.5109813,3.122620106,2625.731288,"4",0.408516523108244,"1"
"20","not-burned",805.7086598,0.759087712,0.31669486,1783.843417,1203.801004,0.895577013,8038.705765,"4",0.578673647536782,"0"
"21","not-burned",560.9331831,1.645707964,0.507273324,2834.256161,1682.841987,4.401770115,3838.634961,"4",0.347798580317158,"0"
"22","not-burned",820.7328936,1.055570791,0.547030538,2038.124892,2443.55228,0.895577013,8393.503241,"4",0.334607943664198,"0"
"23","burned",457.4335159,1.315071511,0.497093743,3782.780884,844.6611441,4.205230236,1443.421999,"4",0.372456570448682,"1"
"24","burned",465.2916185,1.822881458,0.365184742,2894.356159,1350.904898,4.205230236,387.5455862,"4",0.511287862949822,"1"
"25","burned",823.2412019,0.989576252,0.474882898,961.7796383,1501.752156,0.895577013,7766.255525,"12",0.444325880126192,"1"
"26","burned",603.2406608,1.707011038,0.475562618,889.0057494,665.590364,2.615119934,3049.755633,"4",0.329740938716552,"1"
"27","burned",460.3451822,1.513651603,0.387839344,2944.423673,719.4904277,7.10799524,2828.143319,"15",0.296555639935932,"0"
"28","burned",656.4173282,1.888096591,0.421087692,720.1492871,264.7804392,3.156620026,1352.118007,"4",0.422919797884822,"0"
"29","burned",461.8393875,1.217516168,0.676533099,667.781882,275.8779259,4.650616436,1557.132258,"4",0.120124976575403,"1"
"30","burned",682.2204782,2.676363852,0.434087854,623.8585089,848.1359143,3.156620026,2167.927504,"4",0.427220060088165,"1"
"31","burned",793.2259536,1.380525818,0.428097658,2684.465977,248.5552739,1.533360004,3695.538539,"4",0.540191249669619,"1"
"32","burned",456.3562572,1.22318648,0.446868152,3086.058389,578.8452852,4.205230236,759.7355535,"4",0.400960933295886,"0"
"33","burned",640.9900638,3.026784948,0.433034357,3014.612816,282.5335072,1.51574504,522.2373021,"4",0.556421178273134,"0"
"34","burned",467.16392,2.162517239,0.519120437,2176.95207,1084.926464,4.205230236,834.1841631,"4",0.308977197947343,"1"
"35","burned",738.9505534,1.183511281,0.392086374,187.5122411,271.3453816,0.895577013,9128.808788,"12",0.459794866253844,"1"
"36","burned",573.4924247,1.568833651,0.557931536,479.3838932,218.0327471,1.742848053,3269.962136,"4",0.223932056242825,"1"
"37","burned",456.377713,0.955889694,0.550446481,2557.188373,245.6035542,4.540936902,1582.172358,"4",0.25673867668621,"0"
"38","burned",652.3177431,2.710872224,0.546817082,2531.574748,599.8489102,1.103440046,1392.688973,"4",0.389593307523868,"1"
"39","burned",827.332086,1.020513405,0.383793794,361.688915,1760.042232,0.895577013,7764.923382,"12",0.526433492986814,"1"
"40","burned",595.3856007,1.815538089,0.478764512,554.8483335,319.0921443,2.450153543,3364.155458,"4",0.309818223045981,"1"
"41","burned",517.683343,2.173947114,0.753663787,2210.455031,870.6475681,4.401770115,360.414899,"4",0.140639169643679,"0"
"42","burned",645.6469764,3.038250099,0.603863498,2799.889535,205.903973,2.155008014,1012.558976,"4",0.343134651627007,"1"
"43","burned",659.2705132,1.66234449,0.518469474,1000.099866,587.9702705,3.156620026,1411.430497,"4",0.32248650415184,"1"
"44","burned",546.6212043,2.45301074,0.571285377,2395.639084,1069.842792,4.401770115,1385.62377,"4",0.296683585621222,"0"
"45","not-burned",651.6147202,2.237266769,0.543115458,1902.766563,333.6643035,3.319195518,399.5373842,"4",0.353826741691703,"1"
"46","not-burned",678.8927177,5.076328301,0.44433928,3686.166143,1567.350837,3.156620026,3978.501052,"4",0.604846712699873,"1"
"47","not-burned",679.2269283,2.348262918,0.522790468,1228.075102,912.9867455,3.511869907,374.552144,"4",0.359793295341781,"1"
"48","not-burned",669.0137948,2.460350658,0.517201104,4176.686397,240.4668471,1.103440046,619.5207051,"4",0.510559691449017,"0"
"49","not-burned",692.4077922,2.668488424,0.46673958,957.6244571,538.84634,0.895577013,3653.485548,"4",0.404380227166803,"1"
"50","not-burned",754.5812758,5.349078832,0.528289284,3130.27034,412.1560686,0.895577013,4928.923897,"4",0.520891891385407,"1"
"51","not-burned",809.3734018,4.282841149,0.466283327,886.7526806,798.4040194,0.895577013,6890.675463,"4",0.464116227224906,"1"
"52","not-burned",787.0421726,1.101858759,0.557225549,3026.917497,1838.528921,0.895577013,4777.764476,"4",0.386823799156689,"0"
"53","not-burned",530.5355812,2.806487307,0.490241096,191.9394923,321.2654626,5.987964272,573.3507975,"4",0.291698126729099,"0"
"54","not-burned",649.6441806,2.068794611,0.460979154,7157.572653,251.428579,2.133080006,7731.518234,"4",0.625892811219309,"0"
"55","not-burned",718.4212522,1.676766293,0.450601101,1305.745931,2003.802096,3.511869907,2172.82696,"4",0.428501959988356,"1"
"56","not-burned",656.1871639,2.479207756,0.513211444,2054.031445,132.4044339,1.533360004,678.780395,"4",0.406657800356245,"1"
